level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
summary,IND_2004_STEPS-Nagpur-urban,India,IND,Yes,2003,2005,2004,"India STEPS, Nagpur",STEPS-Nagpur-urban,Subnational,urban, 15-69, 15-69,260,253,,,260,253,260,253,260,253,262,253,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Dibrugarh-rural,India,IND,Yes,2003,2005,2004,"India STEPS, Dibrugarh",STEPS-Dibrugarh-rural,Subnational,rural, 15-69, 15-69,239,245,,,239,245,246,252,239,245,246,252,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Dibrugarh-urban,India,IND,Yes,2003,2005,2004,"India STEPS, Dibrugarh",STEPS-Dibrugarh-urban,Subnational,urban, 15-69, 15-69,249,253,,,249,253,249,252,249,252,249,253,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Ballabgarh-rural,India,IND,Yes,2003,2005,2004,"India STEPS, Ballabgarh",STEPS-Ballabgarh-rural,Subnational,rural, 15-69, 15-69,249,255,,,246,253,246,253,246,253,249,255,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Nagpur-rural,India,IND,Yes,2003,2005,2004,"India STEPS, Nagpur",STEPS-Nagpur-rural,Subnational,rural, 15-69, 15-69,284,291,,,284,291,284,291,284,291,284,291,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
individual,IND_2006_IJMRNCD,India,IND,Yes,2005,2006,2006,"Risk factor profile for chronic non-communicable diseases: Results of a community-based study in Kerala, India",IJMRNCD,Community,both, 15-64, 15-64,607,518,605,515,607,518,607,518,607,518,607,518,607,518,,,1,,,,,,,South Asia,South Asia
individual,IND_2006_citRamachandran,India,IND,Yes,2006,2006,2006,"Ramachandran et al., Diabetes Care 31:893-8, 2008",citRamachandran,Community,both, 20+, 20+,3644,3214,3625,3191,3645,3218,3649,3217,3651,3217,3645,3222,3644,3214,,,1,1,,lab,lab,lab,lab,South Asia,South Asia
individual,IND_2007_CIEMS,India,IND,Yes,2006,2008,2007,Central India Eye and Medical Study,CIEMS,Community,rural, 30+, 30+,2487,2149,,,2495,2162,2486,2148,2486,2148,,,2487,2149,2518,2191,0,1,,lab,,lab,,South Asia,South Asia
individual,IND_2008_NDBC,India,IND,Yes,2006,2009,2008,New Delhi Birth Cohort,NDBC,Community,urban, 33-38, 33-38,439,646,438,617,439,646,439,646,439,646,439,644,439,646,448,652,1,1,,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2009_INDIAB,India,IND,Yes,2008,2010,2009,ICMR India Diabetes Study,INDIAB,National,both, 20+, 20+,981,1083,972,1062,978,1069,977,1069,978,1069,983,1083,981,1083,,,1,1,10,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2013_INDIAB,India,IND,Yes,2012,2013,2013,"ICMR-India Diabetes (INDIAB) Study, Phase II",INDIAB,National,both , 20+, 20+,1664,1490,1640,1464,1657,1488,1573,1404,1655,1484,1666,1489,1664,1490,,,,,,lab,,lab,lab,South Asia,South Asia
individual,IND_2013_ASC,India,IND,Yes,2012,2013,2013,Health Survey in Anand School Children,ASC,Community,both, 10-13, 10-13,428,797,,,,,,,,,,,428,797,,,,1,,,,,,South Asia,South Asia
individual,IND_2013_processedfoods,India,IND,Yes,2012,2013,2013,Processed and non-processed foods,processedfoods,National,rural, 18+, 18+,244,224,228,195,243,204,235,195,235,195,229,215,244,224,,,1,1,,cholestech,cholestech,cholestech,cholestech,South Asia,South Asia
individual,IND_2014_VBC,India,IND,Yes,2013,2014,2014,Vellore Birth Cohort,VBC,Subnational,both, 39-44, 39-44,499,579,498,579,499,579,499,580,499,580,498,579,499,579,,,0,1,12,,,,,South Asia,South Asia
summary,IND_2014_INDIAB,India,IND,Yes,2012,2015,2014,"ICMR-India Diabetes (INDIAB) Study, North East Phase",INDIAB,National,both, 20+, 20+,1891,1912,1858,1859,1892,1908,1763,1761,1887,1906,1894,1914,1891,1912,,,,,,lab,,lab,lab,South Asia,South Asia
individual,IND_2016_NNMB,India,IND,Yes,2015,2016,2016,Diet and nutritional status of urban population and prevalence of hypertension,NNMB,National,urban, 18+, 18+,22001,17865,21147,16755,22345,17976,21867,17456,21869,17458,21651,17905,22001,17865,,,1,1,,,,,,South Asia,South Asia
individual,IND_2018_VBC,India,IND,Yes,2016,2019,2018,Vellore Birth Cohort,VBC,Subnational,both, 43-48, 43-48,758,842,758,841,757,841,757,841,757,841,758,842,758,842,,,0,1,12,,,,,South Asia,South Asia
last round,IDN_2001_5360100,Indonesia,IDN,No,NA,NA,2001,STEPS/SURKESNAS   ,NA,Subnational,both, 25+, 25+,2186,1895,,,,,,,,,,,,,,,,,,,,,,South East Asia,East and South East Asia
individual,IDN_2003_GESOPB,Indonesia,IDN,Yes,2003,2003,2003,"A genetic-ecological study of the risk foctors for lifestyle-related diseases in Oceanian populations, Study B",GESOPB,Community,rural, 18-79, 18-79,137,96,136,97,137,96,140,99,140,99,137,97,137,96,,,0,1,,,,,,South East Asia,East and South East Asia
individual,IDN_2003_GESOPA,Indonesia,IDN,Yes,2003,2003,2003,"A genetic-ecological study of the risk foctors for lifestyle-related diseases in Oceanian populations, Study A",GESOPA,Community,rural, 18-79, 18-79,103,99,103,100,103,99,103,99,103,99,103,100,103,99,,,0,1,,,,,,South East Asia,East and South East Asia
individual,IDN_2008_IFLS,Indonesia,IDN,Yes,2007,2008,2008,Indonesian Family Life Surveys,IFLS,National,both, 40+, 40+,5900,5186,,,5675,4708,5420,4357,5420,4357,,,5900,5186,,,,,,cardiocheck,,cardiocheck,,South East Asia,East and South East Asia
summary,IDN_2013_Riskesdas,Indonesia,IDN,Yes,2013,2013,2013,Population Health Basic Health Research 2013 (Riskesdas 2013),Riskesdas,National,both, 18+, 18+,20469,15140,20469,15140,20469,15140,,,,,,,,,,,0,,,lab,lab,lab,,South East Asia,East and South East Asia
individual,IDN_2018_ibhs,Indonesia,IDN,Yes,2018,2018,2018,Indonesian Basic Health Survey 2018,ibhs,National,both, 15+, 15+,14456,8672,14460,8677,14458,8678,14452,8671,14454,8672,14457,8675,14456,8672,,,1,1,,,,,,South East Asia,East and South East Asia
summary,IRN_1991_NHS,Iran,IRN,Yes,1990,1991,1991,National Health Survey I,NHS,National,both, 10+, 10+,14422,11564,,,,,,,,,,,14422,11564,,,,,,lab,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
last round,IRN_1994_15364003,Iran,IRN,No,NA,NA,1994,"Rafiei-Sarraf-Zadegan, 1999 (89)",NA,Community,urban, 20-70, 20-70,1200,1000,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2000_NHS,Iran,IRN,Yes,1999,2000,2000,National Health Survey II ,NHS,Subnational,both, 10+, 10+,20974,17192,3779,2853,3763,2828,,,,,,,20974,17192,,,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2000_TLGS,Iran,IRN,Yes,1999,2001,2000,Tehran Lipid and Glucose Study,TLGS,Community,urban, 5+, 5+,9730,7655,9700,7610,9700,7614,7517,5682,7517,5682,7531,5698,9730,7655,,,1,1,12–14 hours overnight fast,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Arak-rural,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Arak rural",IHHP-Arak-rural,Community,rural, 19+, 19+,1091,1028,1087,1021,1091,1028,1091,1028,1091,1028,1091,1028,1070,981,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Najaf_Abad-urban,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Najaf Abad urban",IHHP-Najaf_Abad-urban,Community,urban, 19+, 19+,578,581,574,575,578,581,578,581,578,581,578,581,571,577,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Isfahan-urban,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Isfahan urban",IHHP-Isfahan-urban,Community,urban, 19+, 19+,1932,1782,1921,1755,1932,1782,1932,1782,1932,1782,1932,1782,1907,1763,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Najaf_Abad-rural,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Najaf Abad rural",IHHP-Najaf_Abad-rural,Community,rural, 19+, 19+,420,409,415,403,420,409,420,409,420,409,420,409,415,402,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Isfahan-rural,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Isfahan rural",IHHP-Isfahan-rural,Community,rural, 19+, 19+,238,234,239,229,239,234,238,234,238,234,239,234,236,228,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2001_IHHP-Arak-urban,Iran,IRN,Yes,2001,2001,2001,"Isfahan Healthy Heart Program, Arak urban",IHHP-Arak-urban,Community,urban, 19+, 19+,2131,2089,2120,2059,2131,2089,2131,2089,2131,2089,2131,1366,2091,2047,,,1,1,12,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2004_TLGS,Iran,IRN,Yes,2002,2005,2004,Tehran Lipid and Glucose Study,TLGS,Community,urban, 5+, 5+,4165,3292,4159,3286,4148,3279,3352,2585,3352,2585,3363,2596,4165,3292,,,1,1,12–14 hours overnight fast,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2004_CASPIAN,Iran,IRN,Yes,2003,2004,2004,Childhood and Adolescence Surveillance and Prevention of Adult Noncommunicable Disease (CASPIAN),CASPIAN,National,both, 10-18, 10-18,1777,1558,1768,1540,1780,1564,1774,1556,1776,1556,1781,1566,1777,1558,,,1,1,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2004_PGHHS,Iran,IRN,Yes,2003,2004,2004,The Persian Gulf Healthy Heart Study,PGHHS,Subnational,urban, 25-75, 25-75,1968,1734,1895,1629,1955,1723,1959,1729,1960,1729,1969,1734,1968,1734,1966,1734,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2005_STEPS,Iran,IRN,Yes,2005,2005,2005,Provincial Non-Communicable Disease Surveillance Survey 2005,STEPS,National,both, 25-64, 25-64,25098,23566,,,,,,,,,,,25098,23566,,,,,,lab,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Isfahan-urban,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Isfahan urban",IHHP-Isfahan-urban,Community,urban, 19+, 19+,1436,1415,1428,1404,1436,1415,1436,1415,1436,1415,1436,1415,1416,1381,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Arak-urban,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Arak urban",IHHP-Arak-urban,Community,urban, 19+, 19+,1366,1429,1358,1422,1366,1429,1366,1429,1366,1429,1366,1429,1356,1421,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Arak-rural,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Arak rural",IHHP-Arak-rural,Community,rural, 19+, 19+,1028,1030,1019,1024,1028,1030,1028,1030,1028,1030,1028,1030,1017,1019,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2007_STEPS-p,Iran,IRN,Yes,2007,2007,2007,Provincial Non-Communicable Disease Surveillance Survey 2007,STEPS-p,National,both, 25-64, 25-64,9714,9031,8346,7893,9735,9027,9665,8972,9677,8982,8725,8294,9714,9031,,,1,,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Isfahan-rural,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Isfahan rural",IHHP-Isfahan-rural,Community,rural, 19+, 19+,153,158,153,158,153,158,153,158,153,158,153,158,150,156,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Najaf_Abad-rural,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Najaf Abad rural",IHHP-Najaf_Abad-rural,Community,rural, 19+, 19+,255,255,255,250,255,255,255,255,255,255,255,255,250,251,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_TLGS,Iran,IRN,Yes,2005,2008,2007,Tehran Lipid and Glucose Study,TLGS,Community,urban, 5+, 5+,4476,3562,4467,3560,4469,3558,3761,2914,3761,2914,3767,2917,4476,3562,,,1,1,12–14 hours overnight fast,lab,lab,lab,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2007_STEPS-n,Iran,IRN,Yes,2007,2007,2007,National Non-Communicable Disease Surveillance Survey 2007,STEPS-n,National,both, 25-64, 25-64,1688,1609,1665,1561,1678,1592,1678,1591,1678,1591,1496,1456,1688,1609,,,0,,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2007_IHHP-Najaf_Abad-urban,Iran,IRN,Yes,2007,2007,2007,"Isfahan Healthy Heart Program, Najaf Abad urban",IHHP-Najaf_Abad-urban,Community,urban, 19+, 19+,544,498,538,487,544,498,544,498,544,498,544,498,536,492,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2009_Zahedan,Iran,IRN,Yes,2008,2009,2009,Zahedan city study,Zahedan,Community,urban, 10+, 10+,1189,1374,1184,1356,1189,1374,1189,1374,1189,1374,1189,1374,1189,1374,,,1,1,08-Oct,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,IRN_2009_Tehran,Iran,IRN,Yes,2008,2010,2009,Tehran city study,Tehran,Community,urban, 10+, 10+,554,424,553,421,553,421,553,421,553,421,553,421,554,424,,,1,1,08-Oct,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2010_CASPIAN,Iran,IRN,Yes,2009,2010,2010,Childhood and Adolescence Surveillance and Prevention of Adult Noncommunicable Disease (CASPIAN),CASPIAN,National,both, 10-18, 10-18,2369,2295,2036,1968,1991,1966,1974,1953,1981,1959,2320,2248,2369,2295,,,1,1,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2010_TLGS4,Iran,IRN,Yes,2008,2011,2010,Tehran Lipid and Glucose Study,TLGS4,Community,urban, 20+, 20+,6038,4722,5958,4615,6037,4718,6037,4718,6037,4718,6037,4720,6038,4722,5982,4695,1,,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2010_PGHHS,Iran,IRN,Yes,2009,2010,2010,The Persian Gulf Healthy Heart Study,PGHHS,Subnational,urban, 31-79, 31-79,1012,832,1009,833,1011,833,1012,831,1012,831,1012,834,1012,832,1014,834,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2011_YES,Iran,IRN,Yes,2010,2011,2011,The Yazd Eye Study,YES,Subnational,both, 40-80, 40-80,413,364,398,354,413,364,413,364,413,364,412,362,413,364,,,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2011_GCSrural,Iran,IRN,Yes,2010,2012,2011,Golestan Cohort Study Second Phase,GCSrural,Subnational,rural, 43-82, 43-82,4900,4310,4789,4213,4895,4297,4882,4295,4888,4295,4900,4310,4900,4310,4921,4325,0,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2011_STEPS,Iran,IRN,Yes,2011,2011,2011,Provincial Non-Communicable Disease Surveillance Survey 2011,STEPS,National,both, 25-69, 25-69,3263,1975,3267,1975,3263,1973,3266,1982,3267,1983,2943,1828,3263,1975,,,0,1,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2011_GCSurban,Iran,IRN,Yes,2010,2012,2011,Golestan Cohort Study Second Phase,GCSurban,Community,urban, 43-82, 43-82,1057,1082,1034,1066,1057,1083,1056,1081,1056,1081,1056,1083,1057,1082,1062,1091,0,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2012_Amolrural,Iran,IRN,Yes,2011,2012,2012,Amol county study,Amolrural,Community,rural, 10+, 10+,1098,1863,1098,1863,1098,1863,1098,1862,1098,1863,1098,1863,1098,1863,,,0,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2012_Tehran,Iran,IRN,Yes,2012,2013,2012,Tehran City,Tehran,Community,urban, 10-90, 10-90,550,424,548,422,551,424,550,424,550,424,551,424,550,424,,,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2012_Amolurban,Iran,IRN,Yes,2011,2012,2012,Amol county study,Amolurban,Community,urban, 10+, 10+,1551,1623,1469,1525,1467,1526,1465,1525,1466,1525,1549,1621,1551,1623,,,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2013_PCS,Iran,IRN,Yes,2012,2014,2013,Pars Cohort Study,PCS,Community,rural, 40-90, 40-90,4981,4268,4977,4256,4980,4267,4980,4267,4980,4267,4979,4266,4981,4268,4988,4276,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2013_Zahedan,Iran,IRN,Yes,2012,2013,2013,Zahedan City,Zahedan,Community,urban, 10-90, 10-90,1189,1374,1185,1361,1189,1374,1189,1374,1189,1374,1189,1374,1189,1374,,,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2014_GES,Iran,IRN,Yes,2013,2014,2014,Gilan Eye Study,GES,Subnational,both, 50+, 50+,1175,847,76,109,1176,847,1174,847,1174,847,1120,819,1175,847,1449,1072,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2014_BEHP,Iran,IRN,Yes,2013,2014,2014,Bushehr Elderly Health Program (BEH),BEHP,Community,urban, 60+, 60+,1543,1451,1543,1452,1544,1452,1544,1452,1544,1452,1544,1453,1543,1451,1545,1455,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Kermanshahrural,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Kermanshah Cohort Study,Kermanshahrural,Community,rural, 35-70, 35-70,2194,1804,2190,1802,2194,1806,2194,1803,2194,1803,2191,1807,2194,1804,2198,1809,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Guilanurban,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Guilan Cohort Study,Guilanurban,Community,urban, 35-70, 35-70,2351,2234,2350,2228,2351,2234,2351,2234,2351,2234,2351,2234,2351,2234,2351,2236,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Fasaurban,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Fasa Cohort Study,Fasaurban,Community,urban, 35-70, 35-70,808,711,808,710,808,711,808,711,808,711,808,711,808,711,812,722,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Guilanrural,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Guilan Cohort Study,Guilanrural,Community,rural, 35-70, 35-70,3256,2639,3253,2632,3256,2640,3256,2639,3256,2639,3256,2639,3256,2639,3261,2646,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Fasarural,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Fasa Cohort Study,Fasarural,Community,rural, 35-70, 35-70,4529,3703,4524,3693,4531,3705,4529,3702,4529,3702,4531,3704,4529,3703,4584,3752,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_CASPIAN,Iran,IRN,Yes,2014,2015,2015,Childhood and Adolescence Surveillance and Prevention of Adult Noncommunicable Disease (CASPIAN),CASPIAN,National,both, 10-18, 10-18,1408,1647,1408,1646,1408,1651,1408,1646,1408,1646,1408,1652,1408,1647,,,1,1,,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Kermanshahurban,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Kermanshah Cohort Study,Kermanshahurban,Community,urban, 35-70, 35-70,2955,2921,2954,2920,2956,2921,2955,2921,2955,2921,2955,2921,2955,2921,2976,2948,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Kharamehrural,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Kharameh Cohort Study,Kharamehrural,Community,rural, 35-70, 35-70,3836,2900,3823,2893,3831,2895,3828,2894,3828,2894,3837,2901,3836,2900,3861,2914,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Kharamehurban,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Kharameh Cohort Study,Kharamehurban,Community,urban, 35-70, 35-70,1985,1788,1981,1788,1984,1788,1984,1788,1984,1788,1985,1788,1985,1788,2001,1795,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Tabrizrural,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Tabriz Cohort Study,Tabrizrural,Community,rural, 35-70, 35-70,2548,1970,2547,1968,2549,1971,2548,1970,2548,1970,2549,1970,2548,1970,2549,1974,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2015_Tabrizurban,Iran,IRN,Yes,2014,2016,2015,The PERSIAN Tabriz Cohort Study,Tabrizurban,Community,urban, 35-70, 35-70,5592,4669,5583,4663,5592,4669,5590,4669,5590,4669,5590,4668,5592,4669,5595,4671,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2016_STEPS,Iran,IRN,Yes,2016,2016,2016,Iran STEPS 2016,STEPS,National,both, 25+, 25+,10372,9009,10345,8981,10367,9008,10361,8997,10361,8999,10373,9022,10372,9009,13848,13037,0,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,IRN_2016_Mazandaranurban,Iran,IRN,Yes,2015,2017,2016,The PERSIAN Mazandaran Cohort Study,Mazandaranurban,Community,urban, 35-70, 35-70,4408,3157,4404,3143,4409,3160,4407,3157,4407,3157,4410,3159,4408,3157,4421,3179,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
